caseid,schoolid,score,cohort90,female,sclass,schtype,schurban,schdenom
12878,2,20,-2,0,1,0,1,0
12880,2,50,-2,0,3,0,1,0
12881,2,30,-2,0,1,0,1,0
6543,2,46,-4,0,1,0,1,0
6542,2,33,-4,0,2,0,1,0
6548,2,32,-4,0,1,0,1,0
6545,2,35,-4,0,2,0,1,0
6547,2,31,-4,0,1,0,1,0
6540,2,4,-4,0,1,0,1,0
18450,2,0,0,0,3,0,1,0
18449,2,24,0,0,1,0,1,0
18448,2,60,0,0,1,0,1,0
18452,2,26,0,0,2,0,1,0
26329,2,28,6,0,1,0,1,0
12882,2,56,-2,0,1,0,1,0
12891,2,40,-2,0,2,0,1,0
12886,2,49,-2,0,1,0,1,0
18447,2,27,0,0,1,0,1,0
18446,2,59,0,0,1,0,1,0
18442,2,64,0,0,1,0,1,0
18443,2,38,0,0,1,0,1,0
26332,2,43,6,0,1,0,1,0
42,2,26,-6,0,2,0,1,0
41,2,0,-6,0,4,0,1,0
35,2,40,-6,0,3,0,1,0
6512,2,41,-4,0,1,0,1,0
6513,2,14,-4,0,1,0,1,0
6515,2,50,-4,0,1,0,1,0
26,2,0,-6,0,3,0,1,0
22,2,0,-6,0,2,0,1,0
33,2,6,-6,0,4,0,1,0
32,2,15,-6,0,3,0,1,0
28,2,53,-6,0,2,0,1,0
31,2,0,-6,0,3,0,1,0
6538,2,22,-4,0,3,0,1,0
6532,2,12,-4,0,2,0,1,0
6531,2,23,-4,0,2,0,1,0
6529,2,14,-4,0,3,0,1,0
6533,2,0,-4,0,1,0,1,0
6537,2,11,-4,0,2,0,1,0
6517,2,0,-4,0,2,0,1,0
6522,2,35,-4,0,3,0,1,0
6518,2,21,-4,0,1,0,1,0
6528,2,38,-4,0,3,0,1,0
6527,2,49,-4,0,1,0,1,0
6523,2,0,-4,0,3,0,1,0
6524,2,0,-4,0,4,0,1,0
30653,2,32,8,0,3,0,1,0
26336,2,40,6,0,3,0,1,0
26337,2,37,6,0,4,0,1,0
26338,2,51,6,0,2,0,1,0
26333,2,30,6,0,2,0,1,0
26335,2,56,6,0,2,0,1,0
26334,2,40,6,0,1,0,1,0
30645,2,26,8,0,1,0,1,0
30641,2,54,8,0,1,0,1,0
30633,2,51,8,0,1,0,1,0
30642,2,33,8,0,3,0,1,0
26339,2,28,6,0,1,0,1,0
26340,2,61,6,0,1,0,1,0
30632,2,48,8,0,1,0,1,0
26341,2,22,6,0,3,0,1,0
30644,2,39,8,0,4,0,1,0
30646,2,53,8,0,1,0,1,0
26368,3,29,6,1,4,0,0,0
26365,3,40,6,1,2,0,0,0
26364,3,12,6,1,3,0,0,0
30659,3,31,8,1,4,0,0,0
30657,3,60,8,1,2,0,0,0
30658,3,62,8,1,1,0,0,0
18471,3,43,0,1,2,0,0,0
26355,3,51,6,1,2,0,0,0
26358,3,56,6,1,1,0,0,0
26354,3,46,6,1,1,0,0,0
26362,3,31,6,1,1,0,0,0
26361,3,56,6,1,1,0,0,0
26359,3,63,6,1,4,0,0,0
26360,3,37,6,1,4,0,0,0
30660,3,59,8,1,1,0,0,0
30668,3,42,8,1,1,0,0,0
30667,3,56,8,1,2,0,0,0
30669,3,32,8,1,2,0,0,0
30671,3,33,8,1,3,0,0,0
30661,3,32,8,1,4,0,0,0
30666,3,56,8,1,1,0,0,0
30663,3,61,8,1,2,0,0,0
18472,3,20,0,1,3,0,0,0
26350,3,46,6,1,3,0,0,0
30680,3,38,8,1,2,0,0,0
18473,3,29,0,1,3,0,0,0
30675,3,34,8,1,2,0,0,0
30677,3,35,8,1,4,0,0,0
30679,3,44,8,1,3,0,0,0
30678,3,28,8,1,3,0,0,0
6566,3,29,-4,1,2,0,0,0
55,3,49,-6,1,2,0,0,0
54,3,38,-6,1,1,0,0,0
6551,3,40,-4,1,3,0,0,0
6554,3,0,-4,1,1,0,0,0
50,3,36,-6,1,3,0,0,0
52,3,14,-6,1,3,0,0,0
51,3,18,-6,1,3,0,0,0
49,3,42,-6,1,2,0,0,0
6563,3,30,-4,1,2,0,0,0
6562,3,0,-4,1,3,0,0,0
6565,3,43,-4,1,1,0,0,0
6557,3,31,-4,1,1,0,0,0
6559,3,19,-4,1,3,0,0,0
6561,3,15,-4,1,2,0,0,0
6560,3,0,-4,1,1,0,0,0
18469,3,51,0,1,3,0,0,0
18458,3,38,0,1,1,0,0,0
18460,3,41,0,1,1,0,0,0
12912,3,51,-2,1,2,0,0,0
12911,3,19,-2,1,3,0,0,0
18468,3,36,0,1,1,0,0,0
18466,3,43,0,1,1,0,0,0
18467,3,22,0,1,2,0,0,0
12894,3,7,-2,1,3,0,0,0
12896,3,22,-2,1,3,0,0,0
12897,3,40,-2,1,2,0,0,0
12895,3,39,-2,1,2,0,0,0
12907,3,52,-2,1,3,0,0,0
12906,3,49,-2,1,3,0,0,0
12901,3,15,-2,1,2,0,0,0
12905,3,46,-2,1,1,0,0,0
12904,3,13,-2,1,2,0,0,0
26353,3,53,6,1,1,0,0,0
26356,3,52,6,0,1,0,0,0
26352,3,45,6,0,2,0,0,0
26351,3,58,6,0,2,0,0,0
26357,3,36,6,0,1,0,0,0
26363,3,55,6,0,1,0,0,0
26366,3,39,6,0,3,0,0,0
18462,3,25,0,0,1,0,0,0
18461,3,37,0,0,3,0,0,0
18470,3,43,0,0,2,0,0,0
18463,3,48,0,0,2,0,0,0
18465,3,53,0,0,1,0,0,0
18459,3,44,0,0,2,0,0,0
30673,3,33,8,0,2,0,0,0
30672,3,32,8,0,1,0,0,0
30670,3,39,8,0,1,0,0,0
30674,3,42,8,0,4,0,0,0
30676,3,29,8,0,3,0,0,0
26367,3,62,6,0,1,0,0,0
26370,3,34,6,0,3,0,0,0
26369,3,0,6,0,3,0,0,0
30665,3,52,8,0,4,0,0,0
30662,3,34,8,0,1,0,0,0
30664,3,40,8,0,3,0,0,0
43,3,4,-6,0,2,0,0,0
6553,3,22,-4,0,2,0,0,0
6552,3,14,-4,0,4,0,0,0
6550,3,36,-4,0,1,0,0,0
6555,3,22,-4,0,2,0,0,0
6556,3,54,-4,0,2,0,0,0
6558,3,23,-4,0,3,0,0,0
45,3,0,-6,0,2,0,0,0
44,3,10,-6,0,3,0,0,0
53,3,50,-6,0,3,0,0,0
46,3,33,-6,0,2,0,0,0
48,3,0,-6,0,3,0,0,0
12913,3,21,-2,0,1,0,0,0
12908,3,24,-2,0,2,0,0,0
12903,3,33,-2,0,2,0,0,0
12902,3,44,-2,0,2,0,0,0
12909,3,11,-2,0,3,0,0,0
12910,3,5,-2,0,3,0,0,0
6564,3,15,-4,0,4,0,0,0
12893,3,21,-2,0,1,0,0,0
6567,3,0,-4,0,4,0,0,0
12900,3,7,-2,0,3,0,0,0
12898,3,56,-2,0,2,0,0,0
12899,3,48,-2,0,3,0,0,0
64,4,0,-6,1,3,0,1,0
6568,4,0,-4,1,2,0,1,0
6569,4,0,-4,1,3,0,1,0
57,4,7,-6,1,3,0,1,0
62,4,20,-6,1,3,0,1,0
59,4,0,-6,1,4,0,1,0
18475,4,0,0,1,2,0,1,0
12916,4,24,-2,1,3,0,1,0
12915,4,29,-2,1,3,0,1,0
12921,4,44,-2,1,3,0,1,0
6571,4,29,-4,1,1,0,1,0
6572,4,21,-4,1,2,0,1,0
6578,4,6,-4,1,4,0,1,0
6576,4,31,-4,1,1,0,1,0
30690,4,18,8,1,4,0,1,0
30682,4,41,8,1,1,0,1,0
30683,4,41,8,1,2,0,1,0
30681,4,40,8,1,2,0,1,0
26378,4,26,6,1,1,0,1,0
30689,4,24,8,1,4,0,1,0
30684,4,35,8,1,4,0,1,0
30686,4,23,8,1,4,0,1,0
18476,4,4,0,1,2,0,1,0
18479,4,5,0,1,2,0,1,0
26371,4,41,6,1,2,0,1,0
18477,4,6,0,1,4,0,1,0
26377,4,41,6,1,2,0,1,0
26375,4,31,6,1,4,0,1,0
26372,4,41,6,1,4,0,1,0
26374,4,24,6,1,2,0,1,0
18474,4,39,0,1,2,0,1,0
12920,4,41,-2,0,3,0,1,0
12922,4,5,-2,0,3,0,1,0
18478,4,33,0,0,2,0,1,0
12919,4,0,-2,0,4,0,1,0
12918,4,25,-2,0,3,0,1,0
12917,4,14,-2,0,4,0,1,0
30687,4,55,8,0,2,0,1,0
30688,4,37,8,0,2,0,1,0
18480,4,0,0,0,2,0,1,0
26373,4,36,6,0,3,0,1,0
30685,4,55,8,0,3,0,1,0
26376,4,36,6,0,1,0,1,0
30691,4,18,8,0,3,0,1,0
60,4,8,-6,0,2,0,1,0
61,4,10,-6,0,3,0,1,0
63,4,37,-6,0,3,0,1,0
58,4,8,-6,0,2,0,1,0
56,4,0,-6,0,2,0,1,0
12914,4,30,-2,0,1,0,1,0
6577,4,40,-4,0,4,0,1,0
6579,4,24,-4,0,2,0,1,0
6570,4,26,-4,0,3,0,1,0
6573,4,23,-4,0,2,0,1,0
6575,4,15,-4,0,3,0,1,0
6574,4,0,-4,0,3,0,1,0
12938,5,39,-2,0,2,0,0,0
12936,5,54,-2,0,1,0,0,0
18485,5,26,0,0,1,0,0,0
18488,5,48,0,0,1,0,0,0
18489,5,29,0,0,1,0,0,0
12931,5,12,-2,0,3,0,0,0
12929,5,35,-2,0,3,0,0,0
12935,5,34,-2,0,2,0,0,0
12932,5,34,-2,0,3,0,0,0
12934,5,21,-2,0,3,0,0,0
12926,5,30,-2,0,1,0,0,0
30694,5,35,8,0,2,0,0,0
30693,5,48,8,0,2,0,0,0
30692,5,8,8,0,3,0,0,0
30697,5,40,8,0,1,0,0,0
30698,5,37,8,0,4,0,0,0
18490,5,31,0,0,2,0,0,0
18493,5,24,0,0,2,0,0,0
18492,5,18,0,0,2,0,0,0
26385,5,27,6,0,1,0,0,0
26383,5,23,6,0,1,0,0,0
26384,5,43,6,0,2,0,0,0
30701,5,32,8,0,2,0,0,0
6581,5,33,-4,1,2,0,0,0
78,5,28,-6,1,1,0,0,0
74,5,54,-6,1,1,0,0,0
6583,5,53,-4,1,3,0,0,0
67,5,12,-6,0,3,0,0,0
69,5,15,-6,0,3,0,0,0
68,5,9,-6,1,2,0,0,0
66,5,0,-6,1,4,0,0,0
73,5,49,-6,1,2,0,0,0
71,5,42,-6,1,3,0,0,0
72,5,49,-6,1,1,0,0,0
6598,5,44,-4,0,1,0,0,0
6594,5,27,-4,0,2,0,0,0
6592,5,34,-4,0,2,0,0,0
6584,5,0,-4,0,1,0,0,0
6595,5,59,-4,0,1,0,0,0
6596,5,9,-4,0,2,0,0,0
70,5,45,-6,0,1,0,0,0
76,5,14,-6,0,1,0,0,0
75,5,46,-6,0,1,0,0,0
6582,5,0,-4,0,2,0,0,0
77,5,54,-6,0,1,0,0,0
6580,5,59,-4,0,4,0,0,0
65,5,30,-6,1,1,0,0,0
26388,5,35,6,1,3,0,0,0
26387,5,32,6,1,3,0,0,0
26389,5,21,6,1,4,0,0,0
26390,5,58,6,1,1,0,0,0
26391,5,16,6,1,1,0,0,0
26380,5,39,6,1,1,0,0,0
26379,5,39,6,1,2,0,0,0
26386,5,37,6,1,3,0,0,0
26381,5,55,6,1,1,0,0,0
26382,5,46,6,1,1,0,0,0
18491,5,30,0,1,1,0,0,0
30707,5,50,8,1,1,0,0,0
30706,5,39,8,1,3,0,0,0
30705,5,46,8,1,3,0,0,0
30708,5,31,8,1,3,0,0,0
30709,5,40,8,1,4,0,0,0
30695,5,50,8,1,1,0,0,0
30699,5,46,8,1,1,0,0,0
30696,5,32,8,1,2,0,0,0
30703,5,38,8,1,3,0,0,0
30700,5,31,8,1,4,0,0,0
30702,5,55,8,1,2,0,0,0
30704,5,52,8,0,1,0,0,0
6593,5,4,-4,1,2,0,0,0
6591,5,10,-4,1,1,0,0,0
6590,5,55,-4,1,1,0,0,0
6597,5,31,-4,1,3,0,0,0
12923,5,30,-2,1,2,0,0,0
12924,5,39,-2,1,1,0,0,0
6586,5,29,-4,1,1,0,0,0
6585,5,39,-4,1,2,0,0,0
6589,5,30,-4,1,2,0,0,0
6587,5,46,-4,1,1,0,0,0
6588,5,30,-4,1,1,0,0,0
18487,5,48,0,1,1,0,0,0
18483,5,24,0,1,4,0,0,0
18482,5,34,0,1,2,0,0,0
18481,5,44,0,1,2,0,0,0
18484,5,21,0,1,1,0,0,0
18486,5,37,0,1,2,0,0,0
12925,5,36,-2,1,1,0,0,0
12928,5,23,-2,1,3,0,0,0
12927,5,37,-2,1,4,0,0,0
12937,5,30,-2,1,2,0,0,0
12930,5,55,-2,1,1,0,0,0
12933,5,36,-2,1,4,0,0,0
18500,6,42,0,1,1,0,1,0
18504,6,54,0,1,1,0,1,0
18496,6,50,0,1,1,0,1,0
18494,6,18,0,1,3,0,1,0
12961,6,53,-2,1,1,0,1,0
18508,6,18,0,1,1,0,1,0
18505,6,47,0,1,1,0,1,0
18507,6,24,0,1,2,0,1,0
18506,6,50,0,1,1,0,1,0
18515,6,48,0,1,1,0,1,0
12947,6,56,-2,1,1,0,1,0
12948,6,14,-2,1,1,0,1,0
12942,6,56,-2,1,1,0,1,0
6617,6,27,-4,1,2,0,1,0
12958,6,51,-2,1,1,0,1,0
12956,6,56,-2,1,1,0,1,0
12950,6,38,-2,1,1,0,1,0
12953,6,44,-2,1,1,0,1,0
12952,6,45,-2,1,1,0,1,0
6616,6,33,-4,1,1,0,1,0
30717,6,47,8,1,1,0,1,0
30719,6,58,8,1,1,0,1,0
30712,6,69,8,1,1,0,1,0
30711,6,36,8,1,1,0,1,0
30710,6,52,8,1,1,0,1,0
30731,6,45,8,1,1,0,1,0
30724,6,45,8,1,2,0,1,0
30729,6,61,8,1,1,0,1,0
30727,6,45,8,1,2,0,1,0
18516,6,50,0,1,1,0,1,0
26393,6,44,6,1,2,0,1,0
26396,6,53,6,1,1,0,1,0
26392,6,63,6,1,1,0,1,0
18520,6,49,0,1,2,0,1,0
26408,6,48,6,1,1,0,1,0
26404,6,53,6,1,1,0,1,0
26407,6,46,6,1,1,0,1,0
26398,6,46,6,1,2,0,1,0
26403,6,52,6,1,2,0,1,0
26400,6,63,6,1,1,0,1,0
94,6,47,-6,0,1,0,1,0
18521,6,24,0,0,2,0,1,0
18522,6,56,0,0,1,0,1,0
18518,6,56,0,0,1,0,1,0
18517,6,0,0,0,3,0,1,0
26397,6,36,6,0,1,0,1,0
26394,6,54,6,0,2,0,1,0
26395,6,32,6,0,1,0,1,0
26399,6,48,6,0,3,0,1,0
91,6,56,-6,0,1,0,1,0
90,6,46,-6,0,1,0,1,0
92,6,25,-6,0,3,0,1,0
84,6,50,-6,0,1,0,1,0
85,6,55,-6,0,1,0,1,0
89,6,15,-6,0,1,0,1,0
86,6,31,-6,0,1,0,1,0
88,6,56,-6,0,1,0,1,0
18514,6,56,0,0,1,0,1,0
30721,6,34,8,0,1,0,1,0
30722,6,41,8,0,4,0,1,0
30720,6,36,8,0,2,0,1,0
30718,6,61,8,0,1,0,1,0
30728,6,33,8,0,2,0,1,0
30723,6,23,8,0,2,0,1,0
30726,6,58,8,0,1,0,1,0
30725,6,57,8,0,2,0,1,0
26401,6,69,6,0,1,0,1,0
26405,6,30,6,0,1,0,1,0
26406,6,28,6,0,4,0,1,0
26402,6,34,6,0,1,0,1,0
30716,6,63,8,0,1,0,1,0
30715,6,48,8,0,1,0,1,0
26409,6,34,6,0,1,0,1,0
30714,6,46,8,0,1,0,1,0
30713,6,63,8,0,1,0,1,0
30730,6,60,8,0,1,0,1,0
12944,6,42,-2,0,1,0,1,0
12945,6,56,-2,0,2,0,1,0
12943,6,43,-2,0,1,0,1,0
12941,6,53,-2,0,4,0,1,0
12954,6,38,-2,0,1,0,1,0
12946,6,30,-2,0,2,0,1,0
12951,6,32,-2,0,1,0,1,0
12949,6,50,-2,0,1,0,1,0
12955,6,9,-2,0,1,0,1,0
6603,6,38,-4,0,1,0,1,0
6606,6,52,-4,0,1,0,1,0
6602,6,53,-4,0,2,0,1,0
6613,6,27,-4,0,1,0,1,0
6612,6,49,-4,0,1,0,1,0
6608,6,40,-4,0,2,0,1,0
6611,6,50,-4,0,1,0,1,0
6609,6,48,-4,0,2,0,1,0
18513,6,48,0,0,1,0,1,0
18502,6,20,0,0,1,0,1,0
18503,6,43,0,0,2,0,1,0
18501,6,47,0,0,2,0,1,0
18499,6,46,0,0,2,0,1,0
18512,6,32,0,0,2,0,1,0
18509,6,48,0,0,1,0,1,0
18511,6,47,0,0,1,0,1,0
18510,6,38,0,0,1,0,1,0
12957,6,45,-2,0,1,0,1,0
12960,6,20,-2,0,2,0,1,0
12962,6,33,-2,0,2,0,1,0
12959,6,47,-2,0,1,0,1,0
18498,6,26,0,0,1,0,1,0
18497,6,46,0,0,1,0,1,0
12963,6,47,-2,0,4,0,1,0
18495,6,31,0,0,2,0,1,0
12964,6,40,-2,0,2,0,1,0
6615,6,39,-4,1,2,0,1,0
87,6,36,-6,1,2,0,1,0
93,6,56,-6,1,1,0,1,0
6599,6,55,-4,1,1,0,1,0
83,6,53,-6,1,1,0,1,0
82,6,46,-6,1,2,0,1,0
81,6,53,-6,1,2,0,1,0
6605,6,0,-4,1,4,0,1,0
6604,6,25,-4,1,1,0,1,0
6600,6,56,-4,1,1,0,1,0
6614,6,54,-4,1,2,0,1,0
6607,6,32,-4,1,2,0,1,0
6610,6,48,-4,1,1,0,1,0
6601,6,53,-4,1,2,0,1,0
80,6,42,-6,1,1,0,1,0
79,6,46,-6,1,1,0,1,0
30744,7,33,8,0,2,0,1,1
30743,7,35,8,0,1,0,1,1
30746,7,33,8,0,3,0,1,1
30749,7,28,8,1,3,0,1,1
18530,7,34,0,0,1,0,1,1
12989,7,46,-2,0,1,0,1,1
18527,7,0,0,0,3,0,1,1
30742,7,21,8,0,3,0,1,1
30740,7,44,8,0,2,0,1,1
30741,7,22,8,0,3,0,1,1
30748,7,54,8,1,2,0,1,1
18528,7,0,0,1,4,0,1,1
18526,7,26,0,1,3,0,1,1
18529,7,27,0,1,3,0,1,1
18531,7,21,0,1,1,0,1,1
18532,7,0,0,1,3,0,1,1
12990,7,36,-2,1,3,0,1,1
18525,7,49,0,1,1,0,1,1
18523,7,44,0,1,3,0,1,1
18524,7,26,0,1,3,0,1,1
18533,7,0,0,0,3,0,1,1
26423,7,41,6,1,4,0,1,1
26422,7,17,6,1,4,0,1,1
26426,7,28,6,1,4,0,1,1
26410,7,47,6,0,1,0,1,1
26412,7,50,6,1,3,0,1,1
26414,7,41,6,1,1,0,1,1
26421,7,22,6,1,4,0,1,1
26416,7,42,6,1,3,0,1,1
26420,7,53,6,1,1,0,1,1
12988,7,18,-2,1,4,0,1,1
108,7,0,-6,0,3,0,1,1
107,7,31,-6,0,1,0,1,1
102,7,6,-6,0,2,0,1,1
6619,7,29,-4,0,3,0,1,1
109,7,0,-6,0,3,0,1,1
6618,7,44,-4,0,3,0,1,1
6620,7,22,-4,0,2,0,1,1
96,7,0,-6,0,3,0,1,1
97,7,20,-6,0,3,0,1,1
95,7,0,-6,0,3,0,1,1
101,7,0,-6,0,4,0,1,1
100,7,0,-6,0,2,0,1,1
98,7,0,-6,0,3,0,1,1
99,7,20,-6,0,3,0,1,1
30747,7,37,8,1,4,0,1,1
30734,7,57,8,1,3,0,1,1
30736,7,40,8,1,4,0,1,1
30733,7,53,8,1,3,0,1,1
30732,7,26,8,1,4,0,1,1
30745,7,33,8,1,2,0,1,1
30738,7,36,8,1,1,0,1,1
30739,7,67,8,1,2,0,1,1
6621,7,33,-4,0,3,0,1,1
6629,7,3,-4,0,4,0,1,1
6630,7,48,-4,0,2,0,1,1
6626,7,0,-4,0,2,0,1,1
26429,7,45,6,1,2,0,1,1
26428,7,54,6,1,1,0,1,1
6633,7,49,-4,0,2,0,1,1
26427,7,15,6,1,3,0,1,1
6638,7,5,-4,1,2,0,1,1
104,7,0,-6,1,4,0,1,1
103,7,30,-6,1,1,0,1,1
12987,7,40,-2,0,1,0,1,1
110,7,52,-6,1,3,0,1,1
105,7,17,-6,1,3,0,1,1
106,7,49,-6,1,1,0,1,1
111,7,52,-6,1,1,0,1,1
12977,7,5,-2,0,3,0,1,1
12978,7,43,-2,0,2,0,1,1
12972,7,12,-2,0,3,0,1,1
12985,7,36,-2,0,2,0,1,1
12983,7,44,-2,0,3,0,1,1
12980,7,39,-2,0,3,0,1,1
12981,7,46,-2,0,4,0,1,1
12971,7,39,-2,0,3,0,1,1
6631,7,22,-4,1,2,0,1,1
6632,7,40,-4,1,1,0,1,1
6628,7,0,-4,1,4,0,1,1
6627,7,44,-4,1,1,0,1,1
6637,7,47,-4,1,2,0,1,1
6634,7,0,-4,1,3,0,1,1
6636,7,36,-4,1,3,0,1,1
112,7,39,-6,1,3,0,1,1
114,7,0,-6,1,3,0,1,1
115,7,25,-6,1,2,0,1,1
113,7,10,-6,1,2,0,1,1
6625,7,34,-4,1,2,0,1,1
6624,7,30,-4,1,4,0,1,1
6622,7,21,-4,1,2,0,1,1
6623,7,35,-4,1,2,0,1,1
12986,7,30,-2,1,3,0,1,1
26425,7,32,6,0,3,0,1,1
26424,7,31,6,0,2,0,1,1
30735,7,35,8,0,2,0,1,1
30737,7,46,8,0,1,0,1,1
6639,7,43,-4,1,3,0,1,1
26415,7,29,6,0,1,0,1,1
26413,7,40,6,0,3,0,1,1
26419,7,32,6,0,3,0,1,1
26417,7,31,6,0,3,0,1,1
26418,7,27,6,0,3,0,1,1
26411,7,42,6,0,2,0,1,1
12979,7,24,-2,1,3,0,1,1
12976,7,18,-2,1,3,0,1,1
12975,7,32,-2,1,3,0,1,1
12982,7,22,-2,1,1,0,1,1
12984,7,8,-2,1,2,0,1,1
12965,7,29,-2,1,3,0,1,1
12969,7,12,-2,1,3,0,1,1
12967,7,43,-2,1,1,0,1,1
12974,7,43,-2,1,2,0,1,1
12970,7,19,-2,1,4,0,1,1
12973,7,44,-2,1,1,0,1,1
12966,7,24,-2,0,1,0,1,1
6635,7,46,-4,0,3,0,1,1
18535,8,47,0,0,1,1,1,1
18534,8,40,0,0,2,1,1,1
30769,8,63,8,1,1,1,1,1
18538,8,51,0,0,1,1,1,1
18536,8,53,0,0,1,1,1,1
18537,8,54,0,0,1,1,1,1
18539,8,37,0,0,1,1,1,1
30759,8,68,8,1,1,1,1,1
30758,8,70,8,1,1,1,1,1
30768,8,59,8,1,1,1,1,1
30767,8,63,8,1,1,1,1,1
30761,8,63,8,1,1,1,1,1
30765,8,58,8,1,1,1,1,1
30756,8,62,8,1,1,1,1,1
30752,8,52,8,0,4,1,1,1
30751,8,56,8,0,1,1,1,1
30750,8,51,8,0,4,1,1,1
30755,8,50,8,0,3,1,1,1
30753,8,59,8,0,2,1,1,1
30754,8,61,8,0,1,1,1,1
18540,8,44,0,0,1,1,1,1
26431,8,52,6,0,1,1,1,1
26432,8,47,6,0,1,1,1,1
18542,8,51,0,0,1,1,1,1
26438,8,47,6,0,1,1,1,1
26437,8,61,6,0,1,1,1,1
